#"Step" "Time (ps)" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Density (g/mL)" "Speed (ns/day)"
2 0.004 -64.96622005108955 45.34122042392227 -19.624999627167277 213.85472003515613 1000.0 0.00023940988054885654 0
3 0.006 -57.99033556775052 33.767919455537104 -24.222416112213416 159.26851756119746 1000.0 0.00023940988054885654 115
4 0.008 -61.44108955264598 33.48267734652874 -27.958412206117238 157.92315520010763 1000.0 0.00023940988054885654 126
5 0.01 -65.71932910958591 39.66350049679808 -26.055828612787835 187.0753966269898 1000.0 0.00023940988054885654 143
6 0.012 -62.55558461227009 41.518822508798216 -21.036762103471872 195.82613967584726 1000.0 0.00023940988054885654 139
7 0.014 -55.780877571826935 35.89863590546775 -19.882241666359185 169.3181758106655 1000.0 0.00023940988054885654 148
8 0.016 -52.63760696046515 31.277814167688202 -21.359792792776947 147.5237792367295 1000.0 0.00023940988054885654 147
9 0.018000000000000002 -52.56538461455568 30.158840673256144 -22.40654394129954 142.24607031885765 1000.0 0.00023940988054885654 152
10 0.020000000000000004 -52.07133751825299 31.009517685831597 -21.061819832421392 146.25834199270707 1000.0 0.00023940988054885654 156
11 0.022000000000000006 -52.199625992279806 31.57145038106051 -20.628175611219294 148.9087329194007 1000.0 0.00023940988054885654 155
2 0.004 -65.07755679409235 43.39800715260753 -21.67954964148481 204.68943232961482 1000.0 0.00023940988054885654 0
3 0.006 -58.81781381257235 31.691935019450476 -27.125878793121878 149.47700630001376 1000.0 0.00023940988054885654 2.37
4 0.008 -62.9387392782016 30.177980847515794 -32.76075843068581 142.33634615549045 1000.0 0.00023940988054885654 4.65
5 0.01 -67.360435532385 37.23463826764497 -30.12579726474003 175.61951504367332 1000.0 0.00023940988054885654 6.87
6 0.012 -64.44975430035824 37.50861128869539 -26.941143011662845 176.91172604210095 1000.0 0.00023940988054885654 9.07
7 0.014 -58.30613329885545 32.1592357732707 -26.146897525584748 151.68105971864904 1000.0 0.00023940988054885654 11.3
8 0.016 -55.78535873825965 28.102363957879454 -27.6829947803802 132.54656845027395 1000.0 0.00023940988054885654 13.4
9 0.018000000000000002 -56.63297094219527 27.12453167199216 -29.508439270203112 127.93456092633367 1000.0 0.00023940988054885654 15.6
10 0.020000000000000004 -57.129931155618 26.606805251384664 -30.52312590423334 125.49267167636094 1000.0 0.00023940988054885654 17.8
11 0.022000000000000006 -57.65795116803705 28.809598525532753 -28.8483526425043 135.88228480397146 1000.0 0.00023940988054885654 19.8
12 0.024000000000000007 -60.10916601797106 31.449163331265815 -28.660002686705248 148.33195835194837 1000.0 0.00023940988054885654 21.9
13 0.02600000000000001 -62.53679015801988 34.13440599836309 -28.40238415965679 160.99707440814444 1000.0 0.00023940988054885654 23.8
14 0.02800000000000001 -61.07727119555574 36.24164637704551 -24.835624818510226 170.93600628991936 1000.0 0.00023940988054885654 25.7
15 0.030000000000000013 -58.05979393230408 32.005540789948014 -26.054253142356067 150.956147655807 1000.0 0.00023940988054885654 27.5
16 0.032000000000000015 -59.975920580525475 31.07614230869261 -28.899778271832865 146.57258121997484 1000.0 0.00023940988054885654 29.2
17 0.034000000000000016 -66.1595277117381 35.45543561201071 -30.704092099727383 167.2277937302849 1000.0 0.00023940988054885654 30.9
18 0.03600000000000002 -68.02137694379887 40.59245923395063 -27.428917709848243 191.4568889820821 1000.0 0.00023940988054885654 32.6
19 0.03800000000000002 -60.677154080114796 36.25991107691047 -24.417243003204327 171.02215289646475 1000.0 0.00023940988054885654 34.3
20 0.04000000000000002 -51.67497374909772 27.737592552075206 -23.93738119702251 130.82610115504562 1000.0 0.00023940988054885654 35.8
21 0.04200000000000002 -51.81181144456594 22.28976299995354 -29.522048444612402 105.13107017053453 1000.0 0.00023940988054885654 37.3
22 0.044000000000000025 -60.40985955362194 28.0312471736358 -32.37861237998614 132.21114166109555 1000.0 0.00023940988054885654 38.9
23 0.04600000000000003 -65.73539239233412 37.0052998265898 -28.73009256574432 174.53782585122104 1000.0 0.00023940988054885654 40.4
24 0.04800000000000003 -61.56903968843119 36.84216398331794 -24.72687570511325 173.7683853781941 1000.0 0.00023940988054885654 41.7
25 0.05000000000000003 -55.20607738993365 31.422270631422368 -23.78380675851128 148.2051172404335 1000.0 0.00023940988054885654 43.2
26 0.05200000000000003 -55.665099149635594 29.790097166971467 -25.875001982664127 140.50686836169805 1000.0 0.00023940988054885654 44.5
27 0.054000000000000034 -61.47894451476782 34.529999194586914 -26.948945320180904 162.86291461789813 1000.0 0.00023940988054885654 45.9
28 0.056000000000000036 -65.1365945186094 40.0980203117751 -25.038574206834298 189.1248366842453 1000.0 0.00023940988054885654 47.2
29 0.05800000000000004 -64.91178524281601 42.222023308999574 -22.689761933816435 199.14283051146083 1000.0 0.00023940988054885654 48.6
30 0.06000000000000004 -64.31467231231241 42.88599054598707 -21.42868176632534 202.2744737767039 1000.0 0.00023940988054885654 49.9
31 0.06200000000000004 -63.912032198494956 42.77195644276455 -21.140075755730408 201.7366247512232 1000.0 0.00023940988054885654 51
32 0.06400000000000004 -60.77185386526572 41.095112847510805 -19.676741017754914 193.82768638889067 1000.0 0.00023940988054885654 52.2
33 0.06600000000000004 -55.88916754207363 34.702298147040025 -21.186869395033604 163.67557347213068 1000.0 0.00023940988054885654 53.5
34 0.06800000000000005 -54.57159609609594 32.05486682389531 -22.516729272200628 151.18879699964066 1000.0 0.00023940988054885654 54.7
35 0.07000000000000005 -57.61211543434148 32.9924538459006 -24.619661588440884 155.6109852033298 1000.0 0.00023940988054885654 55.9
36 0.07200000000000005 -59.47443635394722 36.01441833221359 -23.46001802173363 169.8642709140884 1000.0 0.00023940988054885654 56.8
37 0.07400000000000005 -55.69637301079829 35.74014974408186 -19.956223266716428 168.570665854918 1000.0 0.00023940988054885654 57.9
38 0.07600000000000005 -50.008702026297456 29.462665683247252 -20.546036343050204 138.96251715924134 1000.0 0.00023940988054885654 59
39 0.07800000000000006 -50.41455027502572 25.90863164927423 -24.505918625751487 122.19969193696937 1000.0 0.00023940988054885654 60.1
40 0.08000000000000006 -56.37262845691754 31.445256578819702 -24.927371878097837 148.3135319081341 1000.0 0.00023940988054885654 61.1
41 0.08200000000000006 -58.823600572489354 35.84848742517702 -22.975113147312335 169.08164734688592 1000.0 0.00023940988054885654 62.1
42 0.08400000000000006 -54.941474627254 34.393314167451855 -20.548160459802148 162.21823108407017 1000.0 0.00023940988054885654 63.1
43 0.08600000000000006 -51.863802370196844 29.866989499438276 -21.996812870758568 140.86953588760042 1000.0 0.00023940988054885654 64.2
44 0.08800000000000006 -55.11084394726705 29.35203771598183 -25.75880623128522 138.44073338839422 1000.0 0.00023940988054885654 65.1
45 0.09000000000000007 -60.61734192542374 35.65563022785678 -24.961711697566955 168.172024236743 1000.0 0.00023940988054885654 66.1
46 0.09200000000000007 -61.15427528608666 39.66549135059173 -21.48878393549493 187.08478661421753 1000.0 0.00023940988054885654 66.9
47 0.09400000000000007 -56.9920724651453 36.71478091255537 -20.27729155258993 173.16757510708865 1000.0 0.00023940988054885654 67.8
48 0.09600000000000007 -54.86998857407676 33.60037007863719 -21.269618495439566 158.4782603790134 1000.0 0.00023940988054885654 68.6
49 0.09800000000000007 -56.88685838500815 34.84431838884437 -22.042539996163782 164.34542088175994 1000.0 0.00023940988054885654 69.6
50 0.10000000000000007 -57.079945690160805 37.08691135566355 -19.993034334497253 174.9227517649598 1000.0 0.00023940988054885654 70.5
51 0.10200000000000008 -52.21540975018974 34.6954429037722 -17.519966846417546 163.6432402857694 1000.0 0.00023940988054885654 71.3
52 0.10400000000000008 -48.20862503451384 28.991355940047185 -19.21726909446665 136.73955508985884 1000.0 0.00023940988054885654 72.1
53 0.10600000000000008 -50.66747782459067 29.076282819949853 -21.591195004640817 137.14011806445978 1000.0 0.00023940988054885654 73
54 0.10800000000000008 -54.8775856300551 32.97941692178265 -21.89816870827245 155.54949573014628 1000.0 0.00023940988054885654 73.9
55 0.11000000000000008 -53.9368738380846 35.58536523702544 -18.35150860105916 167.84061498480804 1000.0 0.00023940988054885654 74.8
56 0.11200000000000009 -49.744092000883555 33.515013092858496 -16.22907890802506 158.07566878297604 1000.0 0.00023940988054885654 75.4
57 0.11400000000000009 -50.04811253958416 30.881783406353378 -19.166329133230782 145.6558752235882 1000.0 0.00023940988054885654 76.2
58 0.11600000000000009 -55.943375724720674 34.33052296306335 -21.612852761657322 161.9220724163143 1000.0 0.00023940988054885654 77
59 0.11800000000000009 -60.04757779256949 39.87294422918075 -20.17463356338874 188.06325117375852 1000.0 0.00023940988054885654 77.8
60 0.12000000000000009 -58.00400669112224 39.70100638114832 -18.303000309973925 187.252295491255 1000.0 0.00023940988054885654 78.5
61 0.1220000000000001 -55.673033232808486 35.77550182675098 -19.897531406057503 168.73740617798776 1000.0 0.00023940988054885654 79.1
62 0.1240000000000001 -59.77710448252929 36.621262243732374 -23.155842238796915 172.7264884192533 1000.0 0.00023940988054885654 79.9
63 0.12600000000000008 -66.18831194313465 42.55713451159996 -23.631177431534688 200.72340359138042 1000.0 0.00023940988054885654 80.6
64 0.12800000000000009 -65.35846616225038 46.36466000121956 -18.993806161030818 218.68183721968464 1000.0 0.00023940988054885654 81.3
65 0.1300000000000001 -55.382548595391654 42.00420687896577 -13.378341716425886 198.11548560921906 1000.0 0.00023940988054885654 82
